Feature,Mean_Abs_SHAP_Value
rms_std,0.007267901991788991
rms_mean,0.006333082520819093
mfcc_0_mean,0.0057262180273047894
mel_6_std,0.003608750259465425
mel_7_std,0.003280744426912399
mel_9_std,0.003203364556780908
mel_8_std,0.0030597092160980165
mel_7_mean,0.002912903231321921
mfcc_23_std,0.0028880216873209525
mfcc_2_std,0.0028166561732595424
mel_6_mean,0.0025665181627887988
mfcc_0_std,0.0018855493901490192
mfcc_20_std,0.0018214643475452678
mel_3_mean,0.0017904095938791095
mel_5_std,0.0015856559907839146
mfcc_22_std,0.0015520362320179362
mel_16_std,0.0015073957453550528
mel_5_mean,0.0015053431168824687
mel_4_mean,0.0014867504528187495
mfcc_25_std,0.001080750260625276
mel_117_mean,0.0009764650064671887
mfcc_3_std,0.0009087261573559762
mfcc_17_std,0.000846196880007486
mel_78_std,0.0008419932822049437
mfcc_21_std,0.0008340969999973492
mel_77_std,0.0007728343668739
mel_13_mean,0.0007721152415132979
mel_73_std,0.0007706333934781244
mfcc_19_std,0.000767435978170727
mel_10_std,0.0007378058947646229
mel_2_mean,0.0007169180961196786
mel_52_std,0.0007068385642608541
mfcc_17_mean,0.0006442944995537671
mel_0_mean,0.0006441308253644306
mel_81_std,0.0006191388265830199
mfcc_24_std,0.0006039279889816611
mel_72_std,0.000574685321891408
mel_35_std,0.000554760294397766
mel_37_std,0.0005406227666275372
mfcc_35_mean,0.0005237515173280112
mel_11_std,0.0005221910481407887
mfcc_26_std,0.0005058689008410568
mfcc_7_std,0.0004970866062061924
mel_86_std,0.0004907691101682219
mfcc_30_mean,0.000466947303742321
mel_123_std,0.0004503225447178482
mfcc_18_std,0.00043597924046234206
mel_36_std,0.0004240400859650428
mel_79_std,0.0004162986085067248
mel_84_std,0.0004090618493478049
mel_122_mean,0.00040367010280011463
mel_14_mean,0.0003966511957724974
zcr_mean,0.000382219227354452
mel_12_mean,0.00037498076951767334
mel_3_std,0.00035803966035905617
mfcc_31_mean,0.0003529436969405707
mel_97_std,0.0003449493364137563
mfcc_21_mean,0.0003291929114082919
mel_75_std,0.00032512256185552435
mel_126_std,0.000314971266850216
mfcc_8_mean,0.00030808421528492625
mfcc_20_mean,0.0003070423510613493
mel_85_std,0.00030153719478220674
mfcc_13_std,0.0002990445061148176
mel_4_std,0.0002942191558686344
mel_71_std,0.0002882939641835032
mel_117_std,0.00027908229443780416
mel_33_std,0.0002777166185585764
mfcc_36_mean,0.0002753863499460165
chroma_6_std,0.00027279127407471056
mel_8_mean,0.00026329882979570093
mel_116_mean,0.0002626866276555517
mel_27_std,0.0002580017348105119
mel_29_std,0.00025298830506128
mfcc_26_mean,0.00024926790761828246
mfcc_37_mean,0.00024813062466319546
mel_14_std,0.0002453947286507422
mfcc_31_std,0.00023857842348011548
mel_17_std,0.00023341967361929038
mel_96_std,0.00022619968328155244
mfcc_11_mean,0.00022507652926600363
mel_120_mean,0.00022462289767013352
mel_18_mean,0.00021983678680608448
mfcc_25_mean,0.00021693361813260255
mel_34_std,0.0002143522286803117
mel_121_std,0.000214096798077244
mfcc_33_mean,0.00021359880555519862
mel_94_std,0.00021185454267096012
mel_84_mean,0.00021050366046528147
mel_119_std,0.00020999074502155407
mel_116_std,0.00020684147200834973
mel_87_std,0.00020476895750698324
mel_15_std,0.00020441064562103187
mel_38_std,0.000203780450225815
mel_124_mean,0.00019691670245842568
mel_98_mean,0.00019176126250105484
mel_55_std,0.00018968516184941938
mel_49_std,0.00018683192775863867
mel_44_std,0.0001864000695326421
mfcc_27_std,0.00018592360959941479
mel_127_std,0.00018515684663194667
mfcc_32_std,0.00018498572526038187
mel_82_std,0.00018458915785436533
mfcc_2_mean,0.00018307558250800965
mel_123_mean,0.00018255117771061302
mfcc_34_mean,0.00018040974289549255
mel_10_mean,0.0001663748110525577
mfcc_1_std,0.00016589179130454713
mel_32_std,0.00016507764993593154
mel_118_mean,0.00015936090839358547
mel_90_std,0.00015744346498699146
mel_50_std,0.00015620381289330702
mel_40_std,0.00015492529306087265
chroma_9_mean,0.0001512328079455624
mfcc_23_mean,0.0001510298688162869
mel_51_std,0.00015053976238359285
mel_54_std,0.00015033374371866868
mel_9_mean,0.0001491704289323631
mel_19_mean,0.0001478622762803247
mfcc_28_std,0.00014767059244346378
mfcc_5_std,0.0001473165852257718
mfcc_22_mean,0.00014611799054699558
mfcc_4_std,0.00014556288877924759
mel_70_std,0.00013819520203216682
mfcc_4_mean,0.00013752076849125644
mel_30_std,0.00013716031283545027
mel_42_std,0.00013701256741762883
mel_39_std,0.0001332358094842888
mel_45_std,0.00012750977772589244
mfcc_19_mean,0.0001244528160722276
mel_12_std,0.0001225938862488151
mel_1_mean,0.00012240086681695659
mel_124_std,0.00012198833123464222
mel_62_std,0.0001212767347196687
mfcc_1_mean,0.00011834332894681436
mel_107_std,0.00011640626905683555
mel_21_std,0.00011545370418430725
mel_46_std,0.00011537176479245546
mel_74_mean,0.00011364506484570171
mel_92_std,0.0001108719775534594
mel_59_std,0.00011056353459851336
